,chain_id,cuisine_ids,product_group_ids,products,cuisines,products_len,cuisines_len,cuisines_predicted
0,140718,,[30],[30],[],1,0,[1 3 4 5]
1013,52874,"[1, 2, 3, 5]","[1, 2, 18, 26]","[1, 2, 18, 26]","[1, 2, 3, 5]",4,4,[1 2 3 5]
2592,163818,,"[1, 2, 27, 34, 37]","[1, 2, 27, 34, 37]",[],5,0,[1 2 4 5]
2610,139422,,"[1, 2, 34, 42]","[1, 2, 34, 42]",[],4,0,[1 2 5]
3572,149418,,"[1, 2, 5, 23]","[1, 2, 5, 23]",[],4,0,[1 2 4]
3681,166754,,"[2, 23, 26]","[2, 23, 26]",[],3,0,[1 2]
3939,109886,"[1, 2]","[1, 2, 18]","[1, 2, 18]","[1, 2]",3,2,[1 2]
4185,106646,"[1, 2]","[1, 2, 23]","[1, 2, 23]","[1, 2]",3,2,[1 2 5]
4187,29982,[1],"[1, 23]","[1, 23]",[1],2,1,[1]
4440,17802,"[1, 2]","[2, 23, 26]","[2, 23, 26]","[1, 2]",3,2,[1 2]
7370,7714,"[1, 2]","[2, 18, 36, 40, 51]","[2, 18, 36, 40, 51]","[1, 2]",5,2,[2]
7565,109298,"[1, 2, 5]","[1, 2, 6, 18]","[1, 2, 6, 18]","[1, 2, 5]",4,3,[1 2 5]
9213,112358,,"[2, 18]","[2, 18]",[],2,0,[2]
9731,120446,,"[1, 2, 18, 51]","[1, 2, 18, 51]",[],4,0,[1 2 4]
10588,39578,[2],"[1, 2]","[1, 2]",[2],2,1,[1 2]
10658,63522,"[1, 2, 3, 5]","[1, 2, 3, 18]","[1, 2, 3, 18]","[1, 2, 3, 5]",4,4,[1 2 3 5]
11082,149386,,"[1, 2]","[1, 2]",[],2,0,[1 2]
12057,122174,,"[1, 2, 3]","[1, 2, 3]",[],3,0,[1 2 3]
12226,1502,"[2, 4]","[5, 22, 37, 44, 51]","[5, 22, 37, 44, 51]","[2, 4]",5,2,[1 2 3 4]
12872,120158,,"[1, 42]","[1, 42]",[],2,0,[1]
13066,49654,"[1, 2]","[1, 2, 24, 34]","[1, 2, 24, 34]","[1, 2]",4,2,[1 2]
14451,60074,"[2, 4]","[2, 5, 20, 41]","[2, 5, 20, 41]","[2, 4]",4,2,[2 4]
15198,114418,,"[6, 26]","[6, 26]",[],2,0,[5]
16456,14750,"[1, 2, 4]","[1, 2, 6, 24]","[1, 2, 6, 24]","[1, 2, 4]",4,3,[1 2 4]
16684,125002,,[6],[6],[],1,0,[1 5]
17177,84174,"[1, 2]","[1, 24, 40, 43, 51]","[1, 24, 40, 43, 51]","[1, 2]",5,2,[1 2]
18163,143618,,"[1, 2, 6]","[1, 2, 6]",[],3,0,[1 2 5]
